goos: linux
goarch: amd64
pkg: gitlab.com/jhinrichsen/adventofcode2016
cpu: AMD Ryzen 7 7840HS w/ Radeon 780M Graphics     
BenchmarkDay04Part1-16    	    1218	    968509 ns/op	  210504 B/op	    6545 allocs/op
BenchmarkDay04Part1-16    	    1191	    968950 ns/op	  210504 B/op	    6545 allocs/op
BenchmarkDay04Part1-16    	    1192	    971737 ns/op	  210504 B/op	    6545 allocs/op
BenchmarkDay04Part2-16    	 1202072	       994.7 ns/op	     328 B/op	      11 allocs/op
BenchmarkDay04Part2-16    	 1222345	       980.3 ns/op	     328 B/op	      11 allocs/op
BenchmarkDay04Part2-16    	 1241125	       969.1 ns/op	     328 B/op	      11 allocs/op
BenchmarkDay04Part2-16    	 1221139	       981.5 ns/op	     328 B/op	      11 allocs/op
BenchmarkDay04Part2-16    	 1197501	       992.8 ns/op	     328 B/op	      11 allocs/op
BenchmarkDay04Part2-16    	 1202518	       990.6 ns/op	     328 B/op	      11 allocs/op
BenchmarkDay04Part2-16    	 1236628	       971.4 ns/op	     328 B/op	      11 allocs/op
BenchmarkDay04Part2-16    	 1225531	       977.7 ns/op	     328 B/op	      11 allocs/op
BenchmarkDay04Part2-16    	 1234932	       975.0 ns/op	     328 B/op	      11 allocs/op
BenchmarkDay04Part2-16    	 1218339	       975.7 ns/op	     328 B/op	      11 allocs/op
BenchmarkDay05Part1-16    	       1	2882051055 ns/op	669834896 B/op	50204198 allocs/op
BenchmarkDay05Part1-16    	       1	2880049484 ns/op	669833936 B/op	50204185 allocs/op
BenchmarkDay05Part1-16    	       1	2896345766 ns/op	669834608 B/op	50204194 allocs/op
BenchmarkDay05Part1-16    	       1	2882719003 ns/op	669837184 B/op	50204225 allocs/op
BenchmarkDay05Part1-16    	       1	2879580999 ns/op	669838144 B/op	50204238 allocs/op
BenchmarkDay05Part1-16    	       1	2882037720 ns/op	669839296 B/op	50204255 allocs/op
BenchmarkDay05Part1-16    	       1	2889758457 ns/op	669834224 B/op	50204189 allocs/op
BenchmarkDay05Part1-16    	       1	2890035594 ns/op	669835024 B/op	50204197 allocs/op
BenchmarkDay05Part1-16    	       1	2902379270 ns/op	669834848 B/op	50204197 allocs/op
BenchmarkDay05Part1-16    	       1	2909611545 ns/op	669839088 B/op	50204250 allocs/op
BenchmarkDay05Part2-16    	       1	4549455364 ns/op	1053779936 B/op	78981066 allocs/op
BenchmarkDay05Part2-16    	       1	4565634344 ns/op	1053779120 B/op	78981057 allocs/op
BenchmarkDay05Part2-16    	       1	4565565455 ns/op	1053780848 B/op	78981076 allocs/op
BenchmarkDay05Part2-16    	       1	4564853605 ns/op	1053779616 B/op	78981062 allocs/op
BenchmarkDay05Part2-16    	       1	4548086895 ns/op	1053782096 B/op	78981092 allocs/op
BenchmarkDay05Part2-16    	       1	4531211272 ns/op	1053777424 B/op	78981032 allocs/op
BenchmarkDay05Part2-16    	       1	4581860494 ns/op	1053782752 B/op	78981099 allocs/op
BenchmarkDay05Part2-16    	       1	4551521212 ns/op	1053785936 B/op	78981141 allocs/op
BenchmarkDay05Part2-16    	       1	4560107888 ns/op	1053784096 B/op	78981113 allocs/op
BenchmarkDay05Part2-16    	       1	4538083514 ns/op	1053777888 B/op	78981039 allocs/op
BenchmarkDay06Part1-16    	  355672	      3266 ns/op	       8 B/op	       1 allocs/op
BenchmarkDay06Part1-16    	  372316	      3262 ns/op	       8 B/op	       1 allocs/op
BenchmarkDay06Part1-16    	  369206	      3253 ns/op	       8 B/op	       1 allocs/op
BenchmarkDay06Part1-16    	  353078	      3266 ns/op	       8 B/op	       1 allocs/op
BenchmarkDay06Part1-16    	  372201	      3259 ns/op	       8 B/op	       1 allocs/op
BenchmarkDay06Part1-16    	  365797	      3312 ns/op	       8 B/op	       1 allocs/op
BenchmarkDay06Part1-16    	  373543	      3262 ns/op	       8 B/op	       1 allocs/op
